latitude,longitude,air_temperature_celcius,relative_humidity,windspeed_knots,max_wind_speed,precipitation ,GHI_w/m2
-37.623,149.323,19,56.8,7.9,11.1, 0.00I,154
-38.038,142.986,15,50.7,9.2,13, 0.02G,128
-37.95,142.366,16,53.6,8.1,15, 0.00G,133
-38.231,147.172,24,61.6,7.7,14, 0.00I,186
-37.903,145.25,24,62.3,7,13, 0.00I,185
-37.987,144.005,26,60.8,6.9,12, 0.00I,203
-34.289,141.712,32,54.1,12.8,19, 0.00I,265
-36.294,146.149,20,57.7,9.9,18.1, 0.00I,160
-36.285,146.151,19,56.3,5.8,8.9, 0.00I,154
-36.277,146.165,20,57,8.7,13, 0.00I,161
-36.275,146.154,18,53.3,7.9,14, 0.00I,150
-36.273,146.155,22,56.3,8,13, 0.08G,179
-36.284,146.145,19,54.1,11.2,18.1, 0.31G,157
-36.282,146.157,17,50.4,11.9,16.9, 0.00G,145
-36.293,146.148,16,50.8,5.8,12, 0.00I,136
-36.291,146.159,24,55.4,5.9,9.9, 0.00I,196
-37.635,149.303,24,53.4,9.9,15.9, 0.00I,200
-37.591,149.33,16,46.7,10,16.9, 0.00I,141
-37.59,149.31,19,57.2,8.9,15, 0.98G,153
-37.633,149.264,16,50.9,12.9,21, 0.03G,136
-37.585,149.336,17,52.5,6.7,12, 0.00G,143
-37.58,149.331,23,59,6,12, 0.00I,182
-37.583,149.316,25,58.3,12.2,22, 0.04G,199
-37.38,149.334,16,48.2,9.9,18.1, 0.01G,139
-37.602,149.295,17,50.8,9,15.9, 0.00G,145
-37.598,149.29,18,53.5,8.8,13, 0.00I,150
-37.596,149.319,19,56.1,6.9,12, 0.00A,155
-37.63,149.232,18,57,7.4,15, 0.00I,145
-37.644,149.233,22,58,6.9,12, 0.00I,176
-37.642,149.263,20,55.8,10.5,15.9, 0.01G,163
-37.634,149.237,16,48.4,8.1,15.9, 0.00G,139
-37.384,149.336,16,48.9,5.4,8.9, 0.00I,138
-37.389,149.311,18,53,6.6,14, 0.00I,150
-37.605,149.302,18,54.4,5.7,9.9, 0.00I,149
-37.627,149.261,26,53.7,8.7,15, 0.00I,216
-37.623,149.284,21,64.5,10.6,15.9, 1.26G,158
