latitude,longitude,confidence,surface_temperature_celcius
-37.623,149.323,51,38
-38.038,142.986,65,40
-37.95,142.366,92,70
-38.231,147.172,83,60
-37.903,145.25,53,44
-37.987,144.005,50,38
-34.289,141.712,67,54
-36.294,146.149,87,61
-36.285,146.151,81,54
-36.277,146.165,84,58
-36.275,146.154,86,60
-36.273,146.155,77,36
-36.284,146.145,100,54
-36.282,146.157,100,71
-36.293,146.148,100,52
-36.291,146.159,56,40
-37.635,149.303,52,47
-37.591,149.33,100,53
-37.59,149.31,51,42
-37.633,149.264,64,42
-37.585,149.336,100,54
-37.58,149.331,69,35
-37.583,149.316,100,49
-37.38,149.334,61,31
-37.602,149.295,62,33
-37.598,149.29,64,32
-37.596,149.319,84,38
-37.63,149.232,81,42
-37.644,149.233,100,55
-37.642,149.263,100,65
-37.634,149.237,100,71
-37.384,149.336,84,59
-37.389,149.311,73,50
-37.605,149.302,98,83
-37.627,149.261,81,57
-37.623,149.284,84,61
-37.6,149.325,99,86
-37.61,149.279,69,48
-37.637,146.288,60,42
-37.608,149.282,83,58
-37.62,149.294,87,63
-37.618,149.281,95,76
-37.61,149.296,81,56
-37.603,149.324,73,51
-37.602,149.311,81,55
-37.6,149.297,69,50
-37.382,149.341,64,41
-37.611,149.277,53,38
-37.608,149.292,100,55
-37.605,149.308,68,43
-34.282,142.121,52,54
-37.606,149.312,100,87
-37.605,149.326,64,44
-37.61,149.307,97,80
-37.609,149.32,99,84
-37.749,148.297,50,42
-37.946,144.342,84,60
-37.945,144.354,93,73
-38.141,143.183,68,46
-36.952,144.972,63,60
-34.965,142.031,70,55
-37.978,145.623,84,59
-37.976,145.649,88,64
-37.758,144.693,85,59
-37.862,144.175,87,65
-38.527,143.493,64,45
-37.332,143.375,64,46
-37.621,143.447,87,61
-37.614,143.451,81,53
-37.954,143.918,64,42
-38.167,143.841,51,38
-38.16,143.803,62,41
-36.942,143.282,63,53
-37.864,144.174,58,41
-38.912,146.272,56,48
-36.942,143.292,67,54
-36.94,143.281,89,69
-36.943,143.286,51,29
-36.941,143.268,80,37
-36.939,143.28,100,59
-37.863,144.17,86,60
-36.759,145.179,68,52
-36.758,145.19,62,51
-37.213,142.941,75,51
-37.479,143.358,85,59
-37.467,143.351,72,47
-37.477,143.352,100,93
-37.475,143.365,96,77
-37.719,142.154,63,41
-37.692,143.593,87,62
-37.69,143.605,97,80
-36.538,141.129,60,43
-36.543,141.138,72,48
-36.341,143.636,83,58
-36.346,143.631,71,49
-37.331,143.122,90,65
-37.329,143.136,89,62
-37.34,143.123,81,56
-36.748,144.168,62,44
-36.752,144.15,78,51
-36.759,144.158,86,60
-36.764,144.165,78,50
-36.765,144.176,74,47
-35.325,143.497,77,36
-35.321,143.502,100,48
-35.323,143.509,100,53
-36.156,143.568,67,42
-36.152,143.578,69,44
-37.297,144.384,72,38
-36.1,143.767,77,44
-36.098,143.735,88,59
-36.1,143.772,65,35
-36.098,143.74,92,67
-37.586,141.271,80,46
-37.588,141.259,82,50
-37.296,144.386,65,54
-37.287,144.392,79,49
-37.295,144.377,75,46
-35.364,141.063,72,54
-35.89,145.606,84,59
-35.889,145.614,82,56
-35.892,145.62,71,49
-37.247,141.27,94,43
-35.937,145.607,73,51
-37.247,141.278,91,68
-37.587,142.479,58,41
-37.805,144.15,82,55
-37.288,144.39,62,36
-37.294,141.232,100,87
-37.293,141.245,99,85
-36.851,148.117,78,46
-37.249,143.413,72,40
-38.127,143.82,96,77
-38.116,143.818,76,43
-37.245,143.426,78,44
-37.091,145.362,72,41
-37.087,145.363,91,42
-35.962,143.791,76,42
-36.498,144.877,77,46
-36.418,141.596,50,41
-37.38,148.053,80,46
-37.466,148.143,80,46
-37.472,148.119,85,54
-37.469,148.125,88,58
-37.461,148.109,69,33
-37.459,148.092,92,42
-37.236,141.176,68,37
-37.227,141.151,59,35
-37.242,141.153,77,43
-37.238,141.145,76,43
-37.365,148.052,90,63
-37.376,148.042,81,48
-37.375,148.054,82,49
-37.386,148.043,84,55
-37.384,148.056,90,63
-37.367,148.04,71,55
-37.471,148.091,71,50
-37.462,148.089,100,90
-37.46,148.102,88,65
-37.469,148.103,87,59
-37.229,141.182,73,39
-37.227,141.146,54,31
-37.466,148.1,50,29
-37.475,148.134,59,40
-37.47,148.089,83,50
-37.485,148.095,71,43
-37.477,148.097,85,61
-37.461,148.105,76,42
-37.456,148.11,68,40
-37.463,148.109,62,34
-37.453,148.111,100,54
-37.461,148.103,77,36
-37.368,148.05,79,53
-37.478,148.117,84,52
-37.467,148.127,89,61
-37.46,148.113,64,52
-37.453,148.099,78,44
-37.45,148.097,70,37
-38.226,147.167,82,49
-35.954,141.076,78,50
-35.961,141.089,83,56
-35.963,141.078,86,60
-36.275,142.785,72,45
-36.398,145.286,65,39
-35.953,141.078,79,49
-35.957,141.088,79,49
-37.087,145.37,64,33
-37.758,148.721,76,35
-37.561,148.032,73,34
-37.446,148.102,100,65
-37.448,148.114,72,59
-37.453,148.118,71,34
-37.457,148.143,90,41
-37.437,148.104,99,61
-37.434,148.091,70,52
-37.538,148.895,74,35
-37.333,148.099,94,43
-37.33,148.087,100,61
-37.327,148.083,100,47
-37.375,148.063,59,35
-37.336,148.073,82,38
-37.332,148.091,100,48
-37.363,148.06,100,48
-37.438,148.09,84,50
-37.406,148.123,100,88
-37.397,148.121,58,58
-37.452,148.115,68,77
-37.465,148.153,68,63
-37.45,148.126,64,69
-37.436,148.088,86,76
-37.444,148.101,73,66
-37.562,148.05,61,72
-38.5,146.938,74,40
-38.498,146.95,84,52
-38.495,146.944,56,53
-37.497,147.266,70,37
-37.57,148.034,86,56
-37.559,148.037,56,41
-37.379,148.126,58,82
-37.379,148.132,62,78
-37.434,148.123,100,56
-37.396,148.086,100,65
-37.406,148.088,100,48
-37.415,148.105,100,52
-37.425,148.107,100,50
-37.391,148.066,75,39
-37.399,148.081,100,84
-37.401,148.067,100,79
-36.984,148.25,50,35
-37.335,148.064,88,60
-37.347,148.019,61,36
-37.569,148.024,87,60
-37.585,148.032,80,50
-37.586,148.038,77,47
-36.996,148.228,70,40
-36.995,148.268,56,37
-37.554,148.073,63,37
-37.564,147.992,74,44
-36.012,141.341,71,45
-37.227,142.138,73,39
-37.228,142.146,76,42
-37.235,142.153,78,44
-37.246,142.143,89,60
-37.237,142.141,100,112
-37.238,142.13,73,42
-38.002,144.514,88,60
-34.2695,142.2025,80,54
-34.2838,142.204,84,58
-34.2803,142.1964,86,60
-34.2782,142.2253,81,54
-37.4421,148.259,56,39
-38.0173,144.0571,61,41
-37.4754,148.161,67,43
-37.443,147.3064,61,41
-37.7836,143.9688,58,40
-34.848,141.5002,54,41
-34.7919,141.6231,87,62
-34.8421,141.5266,71,45
-34.7872,141.6164,80,53
-34.8425,141.4933,63,42
-34.793,141.5898,63,42
-34.8006,141.6209,77,50
-34.7979,141.5966,77,50
-34.8368,141.5197,83,56
-37.5537,141.9264,74,63
-37.8519,147.2555,59,40
-37.4796,141.9403,94,87
-37.491,141.936,54,40
-38.3998,147.064,89,65
-38.3982,147.0509,78,51
-37.8641,143.4276,100,51
-37.8658,143.4162,92,43
-37.8475,147.2512,76,50
-37.8565,147.2532,71,46
-38.5194,143.4522,63,42
-38.5233,143.433,61,41
-37.8662,143.4082,83,56
-37.8644,143.4263,91,69
-37.8757,143.428,66,43
-38.4031,147.0701,69,45
-37.8067,141.7598,57,40
-36.397,142.254,84,52
-36.397,142.254,84,52
-37.067,141.379,69,36
-37.067,141.379,69,36
-37.333,143.534,88,58
-37.333,143.534,88,58
-37.886,147.207,50,28
-37.886,147.207,50,28
-37.062,141.373,53,29
-37.062,141.373,53,29
-36.779,146.108,61,32
-36.779,146.108,61,32
-36.834,142.524,78,44
-36.834,142.524,78,44
-37.858,143.428,81,48
-37.856,143.416,75,41
-37.856,143.416,75,41
-37.858,143.428,81,48
-36.4274,142.1944,71,46
-36.3674,143.7295,78,51
-36.3782,143.7313,78,51
-36.3774,143.7079,91,68
-36.3756,143.7243,100,88
-36.369,143.7132,97,80
-36.3799,143.7149,100,89
-36.7179,142.2536,70,45
-37.8387,144.6301,53,39
-37.3583,143.0203,66,43
-36.7084,142.7354,64,42
-36.2669,143.1906,61,45
-36.2693,143.1768,94,85
-36.3769,144.7505,55,39
-36.059,143.7718,69,44
-36.0201,143.7775,62,41
-37.6767,142.9892,62,41
-37.6662,142.9874,64,42
-36.009,143.185,72,39
-36.358,143.113,84,52
-36.701,142.538,86,56
-36.5775,142.6076,76,50
-36.1858,143.885,55,39
-36.0966,142.3635,86,61
-36.2111,141.505,68,44
-36.5794,142.5959,53,39
-36.1002,142.3405,96,78
-36.3096,142.7722,85,59
-36.2229,143.4245,61,41
-36.0279,146.0244,52,38
-37.1405,144.1375,81,54
-37.7052,144.6926,72,46
-36.2127,141.4938,78,51
-36.3114,142.7605,85,59
-36.4325,144.3142,90,67
-36.6851,141.6125,71,46
-36.6833,141.6347,86,61
-36.7685,142.7134,91,69
-37.4661,143.2419,58,40
-37.9243,144.1064,74,48
-36.7801,142.7151,91,68
-37.926,144.0898,85,59
-36.4422,141.427,54,39
-36.251,142.5651,59,40
-37.5865,143.0246,70,45
-37.5915,143.0015,75,49
-36.4553,142.8786,76,49
-36.6296,142.5191,70,45
-36.0005,143.1847,70,45
-36.2032,145.3025,64,42
-35.779,143.1057,65,42
-36.0459,143.8907,74,48
-36.404,142.5467,74,48
-36.4025,142.5598,83,57
-36.5507,142.5788,83,57
-36.6312,142.5058,62,41
-36.837,142.0391,77,51
-36.6732,142.5162,79,52
-36.6686,142.5195,82,56
-37.1815,146.7777,71,46
-36.3334,141.1515,60,41
-37.1875,146.8024,79,52
-37.189,146.791,85,59
-37.0585,143.8589,61,41
-36.6859,146.8907,59,40
-36.575,146.6668,56,40
-38.0427,141.0271,77,50
-37.903,141.0975,84,59
-38.0446,141.0458,75,48
-37.9004,141.0921,68,44
-37.9022,141.1109,81,55
-36.6396,146.8973,66,36
-36.8323,146.6635,80,53
-36.7889,146.6495,59,49
-36.4794,144.5752,63,41
-37.6198,143.0357,52,38
-36.606,141.8923,73,55
-37.4857,143.5322,58,40
-36.477,144.5887,100,101
-36.4767,142.0793,72,47
-38.3871,146.3082,78,51
-37.4976,143.1585,74,48
-36.7842,146.9658,53,39
-38.1647,144.0538,71,45
-36.4858,142.0815,76,50
-36.4909,146.7406,73,47
-36.5708,146.7537,76,50
-36.7783,146.6449,70,56
-36.7746,146.6642,91,68
-36.7855,146.6675,76,55
-36.8359,146.6448,96,78
-36.7871,146.9604,65,42
-37.5158,142.8257,64,42
-37.9085,141.1038,98,82
-37.7287,143.1682,61,41
-37.7379,143.1706,58,40
-38.4349,146.3122,100,93
-38.4792,146.3081,89,65
-36.5722,146.7572,85,59
-38.4412,146.3188,74,48
-38.4322,146.3208,61,42
-37.9077,141.1101,66,43
-37.9047,141.0945,100,90
-38.4888,146.5226,89,64
-36.1337,146.1243,61,41
-36.8431,147.5395,68,44
-36.8403,147.5354,69,45
