latitude,longitude,datetime,confidence,date,surface_temperature_celcius
-37.966,145.051,2018-12-27T04:16:51,78,27/12/2018,68
-35.541,143.311,2018-12-27T00:02:15,82,27/12/2018,63
-35.554,143.307,2018-12-27T00:02:15,67,27/12/2018,53
-35.543,143.316,2018-12-27T00:02:14,86,27/12/2018,67
-37.708,145.1,2018-12-25T04:29:08,80,25/12/2018,54
-35.646,142.282,2018-12-24T13:12:01,65,24/12/2018,32
-38.075,143.76,2018-12-21T04:53:29,72,21/12/2018,46
-37.636,149.33,2018-12-16T15:38:39,94,16/12/2018,43
-37.624,149.332,2018-12-16T15:38:39,69,16/12/2018,33
-37.82,142.323,2018-12-16T04:35:15,62,16/12/2018,54
-37.875,142.51,2018-12-16T04:35:13,93,16/12/2018,73
-37.608,149.328,2018-12-16T04:34:58,84,16/12/2018,55
-37.613,149.305,2018-12-16T04:34:58,95,16/12/2018,75
-37.644,149.346,2018-12-16T04:34:57,59,16/12/2018,55
-37.624,149.314,2018-12-16T04:34:57,90,16/12/2018,66
-37.661,149.327,2018-12-16T04:34:57,75,16/12/2018,56
-37.649,149.322,2018-12-16T04:34:57,79,16/12/2018,60
-38.057,144.211,2018-12-16T00:21:12,93,16/12/2018,73
-38.046,144.201,2018-12-16T00:21:11,60,16/12/2018,48
-38.048,144.213,2018-12-16T00:21:11,82,16/12/2018,55
-37.651,149.345,2018-12-16T00:20:53,82,16/12/2018,64
-37.63,149.335,2018-12-16T00:20:53,53,16/12/2018,57
-37.627,149.33,2018-12-15T13:17:17,92,15/12/2018,42
-37.658,149.339,2018-12-15T13:17:17,78,15/12/2018,36
-37.623,149.323,2018-12-15T13:17:17,51,15/12/2018,38
-38.038,142.986,2018-12-15T01:16:23,65,15/12/2018,40
-37.95,142.366,2018-12-14T04:47:25,92,14/12/2018,70
-38.231,147.172,2018-12-13T04:04:19,83,13/12/2018,60
-37.903,145.25,2018-12-12T00:45:38,53,12/12/2018,44
-37.987,144.005,2018-12-10T00:57:59,50,10/12/2018,38
-34.289,141.712,2018-12-10T00:56:57,67,10/12/2018,54
-36.294,146.149,2018-12-09T00:14:34,87,9/12/2018,61
-36.285,146.151,2018-12-09T00:14:34,81,9/12/2018,54
-36.277,146.165,2018-12-09T00:14:33,84,9/12/2018,58
-36.275,146.154,2018-12-09T00:14:33,86,9/12/2018,60
-36.273,146.155,2018-12-08T13:11:44,77,8/12/2018,36
-36.284,146.145,2018-12-08T13:11:44,100,8/12/2018,54
-36.282,146.157,2018-12-08T13:11:44,100,8/12/2018,71
-36.293,146.148,2018-12-08T13:11:43,100,8/12/2018,52
-36.291,146.159,2018-12-08T13:11:43,56,8/12/2018,40
-37.635,149.303,2018-11-30T23:25:57,52,30/11/2018,47
-37.591,149.33,2018-11-30T15:38:36,100,30/11/2018,53
-37.59,149.31,2018-11-30T15:38:36,51,30/11/2018,42
-37.633,149.264,2018-11-30T15:38:36,64,30/11/2018,42
-37.585,149.336,2018-11-30T15:38:35,100,30/11/2018,54
-37.58,149.331,2018-11-30T15:38:35,69,30/11/2018,35
-37.583,149.316,2018-11-30T15:38:35,100,30/11/2018,49
-37.38,149.334,2018-11-30T15:38:32,61,30/11/2018,31
-37.602,149.295,2018-11-30T12:22:15,62,30/11/2018,33
-37.598,149.29,2018-11-30T12:22:15,64,30/11/2018,32
-37.596,149.319,2018-11-30T12:22:15,84,30/11/2018,38
-37.63,149.232,2018-11-30T12:22:15,81,30/11/2018,42
-37.644,149.233,2018-11-30T12:22:15,100,30/11/2018,55
-37.642,149.263,2018-11-30T12:22:15,100,30/11/2018,65
-37.634,149.237,2018-11-30T12:22:14,100,30/11/2018,71
-37.384,149.336,2018-11-30T04:35:00,84,30/11/2018,59
-37.389,149.311,2018-11-30T04:35:00,73,30/11/2018,50
-37.605,149.302,2018-11-30T04:34:57,98,30/11/2018,83
-37.627,149.261,2018-11-30T04:34:57,81,30/11/2018,57
-37.623,149.284,2018-11-30T04:34:57,84,30/11/2018,61
-37.6,149.325,2018-11-30T04:34:57,99,30/11/2018,86
-37.61,149.279,2018-11-30T04:34:57,69,30/11/2018,48
-37.637,146.288,2018-11-30T00:21:00,60,30/11/2018,42
-37.608,149.282,2018-11-30T00:20:53,83,30/11/2018,58
-37.62,149.294,2018-11-30T00:20:53,87,30/11/2018,63
-37.618,149.281,2018-11-30T00:20:53,95,30/11/2018,76
-37.61,149.296,2018-11-30T00:20:53,81,30/11/2018,56
-37.603,149.324,2018-11-30T00:20:53,73,30/11/2018,51
-37.602,149.311,2018-11-30T00:20:53,81,30/11/2018,55
-37.6,149.297,2018-11-30T00:20:53,69,30/11/2018,50
-37.382,149.341,2018-11-30T00:20:49,64,30/11/2018,41
-37.611,149.277,2018-11-29T13:17:24,53,29/11/2018,38
-37.608,149.292,2018-11-29T13:17:24,100,29/11/2018,55
-37.605,149.308,2018-11-29T13:17:24,68,29/11/2018,43
-34.282,142.121,2018-11-29T03:53:16,52,29/11/2018,54
-37.606,149.312,2018-11-29T03:52:10,100,29/11/2018,87
-37.605,149.326,2018-11-29T03:52:10,64,29/11/2018,44
-37.61,149.307,2018-11-29T03:52:10,97,29/11/2018,80
-37.609,149.32,2018-11-29T03:52:10,99,29/11/2018,84
-37.749,148.297,2018-11-28T00:33:14,50,28/11/2018,42
-37.946,144.342,2018-11-23T04:28:59,84,23/11/2018,60
-37.945,144.354,2018-11-23T04:28:59,93,23/11/2018,73
-38.141,143.183,2018-11-23T00:15:12,68,23/11/2018,46
-36.952,144.972,2018-11-23T00:14:47,63,23/11/2018,60
-34.965,142.031,2018-11-23T00:14:24,70,23/11/2018,55
-37.978,145.623,2018-11-22T03:46:00,84,22/11/2018,59
-37.976,145.649,2018-11-22T03:46:00,88,22/11/2018,64
-37.758,144.693,2018-11-21T00:27:21,85,21/11/2018,59
-37.862,144.175,2018-11-14T04:35:04,87,14/11/2018,65
-38.527,143.493,2018-11-14T00:21:26,64,14/11/2018,45
-37.332,143.375,2018-11-14T00:21:07,64,14/11/2018,46
-37.621,143.447,2018-11-13T03:52:15,87,13/11/2018,61
-37.614,143.451,2018-11-13T03:52:14,81,13/11/2018,53
-37.954,143.918,2018-11-13T03:52:08,64,13/11/2018,42
-38.167,143.841,2018-11-13T01:16:38,51,13/11/2018,38
-38.16,143.803,2018-11-13T01:16:37,62,13/11/2018,41
-36.942,143.282,2018-11-12T04:47:32,63,12/11/2018,53
-37.864,144.174,2018-11-12T04:47:16,58,12/11/2018,41
-38.912,146.272,2018-11-12T04:46:53,56,12/11/2018,48
-36.942,143.292,2018-11-12T00:33:15,67,12/11/2018,54
-36.94,143.281,2018-11-12T00:33:15,89,12/11/2018,69
-36.943,143.286,2018-11-11T15:08:00,51,11/11/2018,29
-36.941,143.268,2018-11-11T13:30:08,80,11/11/2018,37
-36.939,143.28,2018-11-11T13:30:08,100,11/11/2018,59
-37.863,144.17,2018-11-11T04:04:25,86,11/11/2018,60
-36.759,145.179,2018-11-09T04:16:56,68,9/11/2018,52
-36.758,145.19,2018-11-09T04:16:56,62,9/11/2018,51
-37.213,142.941,2018-11-09T04:16:53,75,9/11/2018,51
-37.479,143.358,2018-11-09T04:16:48,85,9/11/2018,59
-37.467,143.351,2018-11-09T04:16:48,72,9/11/2018,47
-37.477,143.352,2018-11-09T04:16:48,100,9/11/2018,93
-37.475,143.365,2018-11-09T04:16:48,96,9/11/2018,77
-37.719,142.154,2018-11-09T04:16:46,63,9/11/2018,41
-37.692,143.593,2018-11-09T04:16:44,87,9/11/2018,62
-37.69,143.605,2018-11-09T04:16:44,97,9/11/2018,80
-36.538,141.129,2018-11-08T05:12:08,60,8/11/2018,43
-36.543,141.138,2018-11-08T05:12:08,72,8/11/2018,48
-36.341,143.636,2018-11-05T04:41:34,83,5/11/2018,58
-36.346,143.631,2018-11-05T04:41:34,71,5/11/2018,49
-37.331,143.122,2018-11-05T04:41:19,90,5/11/2018,65
-37.329,143.136,2018-11-05T04:41:19,89,5/11/2018,62
-37.34,143.123,2018-10-28T03:52:17,81,28/10/2018,56
-36.748,144.168,2018-10-27T04:47:31,62,27/10/2018,44
-36.752,144.15,2018-10-27T04:47:31,78,27/10/2018,51
-36.759,144.158,2018-10-27T04:47:31,86,27/10/2018,60
-36.764,144.165,2018-10-27T00:33:09,78,27/10/2018,50
-36.765,144.176,2018-10-27T00:33:09,74,27/10/2018,47
-35.325,143.497,2018-10-26T13:30:31,77,26/10/2018,36
-35.321,143.502,2018-10-26T13:30:31,100,26/10/2018,48
-35.323,143.509,2018-10-26T13:30:31,100,26/10/2018,53
-36.156,143.568,2018-10-26T04:04:53,67,26/10/2018,42
-36.152,143.578,2018-10-26T04:04:53,69,26/10/2018,44
-37.297,144.384,2018-10-23T00:57:55,72,23/10/2018,38
-36.1,143.767,2018-10-21T01:09:55,77,21/10/2018,44
-36.098,143.735,2018-10-21T01:09:55,88,21/10/2018,59
-36.1,143.772,2018-10-21T01:09:54,65,21/10/2018,35
-36.098,143.74,2018-10-21T01:09:54,92,21/10/2018,67
-37.586,141.271,2018-10-20T04:41:19,80,20/10/2018,46
-37.588,141.259,2018-10-20T04:41:19,82,20/10/2018,50
-37.296,144.386,2018-10-20T00:27:12,65,20/10/2018,54
-37.287,144.392,2018-10-18T00:39:27,79,18/10/2018,49
-37.295,144.377,2018-10-18T00:39:27,75,18/10/2018,46
-35.364,141.063,2018-10-18T00:39:03,72,18/10/2018,54
-35.89,145.606,2018-10-18T00:39:02,84,18/10/2018,59
-35.889,145.614,2018-10-18T00:39:02,82,18/10/2018,56
-35.892,145.62,2018-10-18T00:39:02,71,18/10/2018,49
-37.247,141.27,2018-10-17T13:36:12,94,17/10/2018,43
-35.937,145.607,2018-10-17T04:10:59,73,17/10/2018,51
-37.247,141.278,2018-10-17T04:10:45,91,17/10/2018,68
-37.587,142.479,2018-10-17T04:10:38,58,17/10/2018,41
-37.805,144.15,2018-10-17T04:10:32,82,17/10/2018,55
-37.288,144.39,2018-10-16T23:56:43,62,16/10/2018,36
-37.294,141.232,2018-10-15T04:23:01,100,15/10/2018,87
-37.293,141.245,2018-10-15T04:23:01,99,15/10/2018,85
-36.851,148.117,2018-10-15T00:08:42,78,15/10/2018,46
-37.249,143.413,2018-10-10T04:04:34,72,10/10/2018,40
-38.127,143.82,2018-10-10T04:04:19,96,10/10/2018,77
-38.116,143.818,2018-10-10T04:04:19,76,10/10/2018,43
-37.245,143.426,2018-10-09T00:45:42,78,9/10/2018,44
-37.091,145.362,2018-10-08T04:16:48,72,8/10/2018,41
-37.087,145.363,2018-10-07T12:59:33,91,7/10/2018,42
-35.962,143.791,2018-10-06T04:29:25,76,6/10/2018,42
-36.498,144.877,2018-10-06T04:29:13,77,6/10/2018,46
-36.418,141.596,2018-10-04T04:41:36,50,4/10/2018,41
-37.38,148.053,2018-10-04T04:41:02,80,4/10/2018,46
-37.466,148.143,2018-10-04T04:41:00,80,4/10/2018,46
-37.472,148.119,2018-10-04T04:41:00,85,4/10/2018,54
-37.469,148.125,2018-10-04T04:41:00,88,4/10/2018,58
-37.461,148.109,2018-10-03T15:01:44,69,3/10/2018,33
-37.459,148.092,2018-10-03T13:23:43,92,3/10/2018,42
-37.236,141.176,2018-10-03T03:58:28,68,3/10/2018,37
-37.227,141.151,2018-10-03T03:58:28,59,3/10/2018,35
-37.242,141.153,2018-10-03T03:58:28,77,3/10/2018,43
-37.238,141.145,2018-10-03T03:58:28,76,3/10/2018,43
-37.365,148.052,2018-10-03T03:58:15,90,3/10/2018,63
-37.376,148.042,2018-10-03T03:58:15,81,3/10/2018,48
-37.375,148.054,2018-10-03T03:58:15,82,3/10/2018,49
-37.386,148.043,2018-10-03T03:58:15,84,3/10/2018,55
-37.384,148.056,2018-10-03T03:58:15,90,3/10/2018,63
-37.367,148.04,2018-10-03T03:58:15,71,3/10/2018,55
-37.471,148.091,2018-10-03T03:58:14,71,3/10/2018,50
-37.462,148.089,2018-10-03T03:58:14,100,3/10/2018,90
-37.46,148.102,2018-10-03T03:58:14,88,3/10/2018,65
-37.469,148.103,2018-10-03T03:58:14,87,3/10/2018,59
-37.229,141.182,2018-10-03T01:22:44,73,3/10/2018,39
-37.227,141.146,2018-10-03T01:22:44,54,3/10/2018,31
-37.466,148.1,2018-10-02T23:44:31,50,2/10/2018,29
-37.475,148.134,2018-10-02T04:53:10,59,2/10/2018,40
-37.47,148.089,2018-10-02T04:53:10,83,2/10/2018,50
-37.485,148.095,2018-10-02T04:53:10,71,2/10/2018,43
-37.477,148.097,2018-10-02T04:53:09,85,2/10/2018,61
-37.461,148.105,2018-10-02T00:39:34,76,2/10/2018,42
-37.456,148.11,2018-10-02T00:39:34,68,2/10/2018,40
-37.463,148.109,2018-10-01T15:13:56,62,1/10/2018,34
-37.453,148.111,2018-10-01T15:13:56,100,1/10/2018,54
-37.461,148.103,2018-10-01T13:36:02,77,1/10/2018,36
-37.368,148.05,2018-10-01T04:10:30,79,1/10/2018,53
-37.478,148.117,2018-10-01T04:10:28,84,1/10/2018,52
-37.467,148.127,2018-10-01T04:10:28,89,1/10/2018,61
-37.46,148.113,2018-10-01T04:10:28,64,1/10/2018,52
-37.453,148.099,2018-10-01T04:10:28,78,1/10/2018,44
-37.45,148.097,2018-09-29T04:22:41,70,29/09/2018,37
-38.226,147.167,2018-09-29T04:22:31,82,29/09/2018,49
-35.954,141.076,2018-09-27T04:35:36,78,27/09/2018,50
-35.961,141.089,2018-09-27T04:35:36,83,27/09/2018,56
-35.963,141.078,2018-09-27T04:35:36,86,27/09/2018,60
-36.275,142.785,2018-09-27T04:35:27,72,27/09/2018,45
-36.398,145.286,2018-09-27T04:35:18,65,27/09/2018,39
-35.953,141.078,2018-09-27T00:21:05,79,27/09/2018,49
-35.957,141.088,2018-09-27T00:21:05,79,27/09/2018,49
-37.087,145.37,2018-09-26T03:52:14,64,26/09/2018,33
-37.758,148.721,2018-09-24T15:07:50,76,24/09/2018,35
-37.561,148.032,2018-09-24T15:07:49,73,24/09/2018,34
-37.446,148.102,2018-09-24T15:07:47,100,24/09/2018,65
-37.448,148.114,2018-09-24T15:07:47,72,24/09/2018,59
-37.453,148.118,2018-09-24T15:07:47,71,24/09/2018,34
-37.457,148.143,2018-09-24T15:07:47,90,24/09/2018,41
-37.437,148.104,2018-09-24T15:07:47,99,24/09/2018,61
-37.434,148.091,2018-09-24T15:07:47,70,24/09/2018,52
-37.538,148.895,2018-09-24T15:07:46,74,24/09/2018,35
-37.333,148.099,2018-09-24T15:07:45,94,24/09/2018,43
-37.33,148.087,2018-09-24T15:07:45,100,24/09/2018,61
-37.327,148.083,2018-09-24T13:30:10,100,24/09/2018,47
-37.375,148.063,2018-09-24T13:30:09,59,24/09/2018,35
-37.336,148.073,2018-09-24T13:30:09,82,24/09/2018,38
-37.332,148.091,2018-09-24T13:30:09,100,24/09/2018,48
-37.363,148.06,2018-09-24T13:30:09,100,24/09/2018,48
-37.438,148.09,2018-09-24T13:30:07,84,24/09/2018,50
-37.406,148.123,2018-09-24T04:04:19,100,24/09/2018,88
-37.397,148.121,2018-09-24T04:04:19,58,24/09/2018,58
-37.452,148.115,2018-09-24T04:04:18,68,24/09/2018,77
-37.465,148.153,2018-09-24T04:04:18,68,24/09/2018,63
-37.45,148.126,2018-09-24T04:04:18,64,24/09/2018,69
